Date,County Name,Partially Covered,Fully Covered,Additional Dose
09/11/2021,Philadelphia,251,147,6
07/13/2021,Delaware,292,404,
07/20/2021,Bucks,503,415,
12/20/2020,Susquehanna,5,,
12/20/2020,Tioga,2,,
08/03/2021,Wayne,29,41,
12/20/2020,Venango,2,,
04/22/2021,Allegheny,4763,8210,
12/20/2020,Wayne,10,,
04/13/2021,Berks,2058,1346,
12/20/2020,Wyoming,5,,
04/01/2021,Clinton,406,251,
06/13/2021,Columbia,7,221,
01/25/2021,Fayette,185,61,
12/21/2020,Bedford,18,,
01/01/2021,Somerset,7,,
06/16/2021,Allegheny,723,1862,
12/21/2020,Cameron,2,,
11/16/2021,Pike,113,17,84
07/02/2021,Carbon,36,59,
10/10/2021,York,103,105,105
05/13/2021,Lawrence,189,437,
07/27/2021,Berks,370,409,
03/05/2021,Wayne,203,399,
01/12/2021,Lehigh,1642,678,
05/01/2021,Venango,41,70,
12/21/2020,Forest,7,,
12/21/2020,Franklin,39,,
12/21/2020,Fulton,2,,
12/21/2020,Greene,11,,
10/23/2021,Schuylkill,55,43,275
01/18/2021,Mifflin,19,36,
05/10/2021,Montgomery,904,3569,
07/15/2021,Blair,54,51,
03/17/2021,Schuylkill,825,646,
09/08/2021,Bradford,30,39,6
12/21/2020,Mckean,36,,
05/21/2021,Carbon,219,377,
12/21/2020,Perry,12,,
10/16/2021,Dauphin,127,121,157
08/04/2021,Mercer,91,37,
09/26/2021,Dauphin,99,98,84
12/21/2020,Sullivan,4,,
12/21/2020,Susquehanna,8,,
04/22/2021,Montgomery,4763,5033,
06/26/2021,Westmoreland,93,178,
06/01/2021,Adams,140,148,
12/21/2020,Wayne,16,,
10/30/2021,Luzerne,158,113,483
01/17/2021,Lebanon,61,5,
02/21/2021,Lancaster,238,217,
01/08/2021,Philadelphia,1236,174,
12/22/2020,Bedford,21,,
07/02/2021,Northumberland,44,70,
12/22/2020,Bradford,88,,
12/18/2020,Butler,393,,
04/15/2021,Centre,563,1347,
12/22/2020,Cameron,6,,
01/14/2021,Lebanon,244,56,
12/24/2020,Franklin,106,,
02/02/2021,Clarion,346,22,
02/01/2021,Mifflin,106,7,
03/24/2021,Clearfield,496,85,
03/12/2021,Mckean,127,75,
11/02/2021,Elk,14,10,86
12/22/2020,Forest,9,,
05/17/2021,Cumberland,488,811,
12/22/2020,Fulton,4,,
12/22/2020,Greene,20,,
12/22/2020,Huntingdon,80,,
03/02/2021,Blair,684,180,
12/22/2020,Juniata,12,,
01/08/2021,Huntingdon,122,93,
01/08/2021,Northampton,766,271,
04/10/2021,Indiana,69,282,
03/14/2021,Warren,5,41,
01/18/2021,Chester,649,177,
04/07/2021,Huntingdon,52,894,
12/22/2020,Montour,70,,
04/12/2021,Clearfield,158,422,
11/01/2021,Washington,156,110,624
03/25/2021,Schuylkill,757,630,
12/22/2020,Potter,29,,
09/20/2021,Huntingdon,35,55,232
12/22/2020,Snyder,10,,
01/12/2021,Perry,100,20,
