County Name,Date of Death,Total Deaths
Schuylkill,09/01/2021 12:00:00 AM,12982
Clinton,04/01/2020 12:00:00 AM,0
Allegheny,10/01/2021 12:00:00 AM,71586
Montour,06/01/2020 12:00:00 AM,10
Westmoreland,10/01/2021 12:00:00 AM,27504
Centre,09/01/2020 12:00:00 AM,333
Indiana,06/01/2020 12:00:00 AM,180
Washington,12/01/2020 12:00:00 AM,3451
Susquehanna,08/01/2021 12:00:00 AM,1922
McKean,10/01/2020 12:00:00 AM,62
Forest,03/01/2021 12:00:00 AM,651
Montgomery,05/01/2021 12:00:00 AM,53310
Butler,11/01/2020 12:00:00 AM,1902
Bucks,07/01/2020 12:00:00 AM,18122
Huntingdon,04/01/2021 12:00:00 AM,3831
Clarion,08/01/2020 12:00:00 AM,89
Allegheny,12/01/2020 12:00:00 AM,28314
Bucks,03/01/2021 12:00:00 AM,36427
Westmoreland,08/01/2020 12:00:00 AM,1566
Clearfield,02/01/2021 12:00:00 AM,3234
Washington,01/01/2021 12:00:00 AM,5895
Lackawanna,04/01/2021 12:00:00 AM,13695
Venango,11/01/2020 12:00:00 AM,177
Elk,08/01/2020 12:00:00 AM,62
Tioga,01/01/2021 12:00:00 AM,2662
Crawford,05/01/2021 12:00:00 AM,4659
Warren,03/01/2021 12:00:00 AM,3100
McKean,09/01/2020 12:00:00 AM,60
Fulton,01/01/2021 12:00:00 AM,380
Northampton,04/01/2021 12:00:00 AM,20940
Luzerne,10/01/2021 12:00:00 AM,28423
Butler,07/01/2020 12:00:00 AM,434
Susquehanna,12/01/2020 12:00:00 AM,1158
Bedford,10/01/2021 12:00:00 AM,5179
Montour,04/01/2021 12:00:00 AM,1958
Columbia,09/01/2020 12:00:00 AM,1054
Forest,06/01/2020 12:00:00 AM,0
Lackawanna,08/01/2021 12:00:00 AM,15204
Clearfield,10/01/2021 12:00:00 AM,5968
Washington,10/01/2020 12:00:00 AM,1052
Beaver,01/01/2021 12:00:00 AM,9389
McKean,10/01/2021 12:00:00 AM,2701
Sullivan,03/01/2020 12:00:00 AM,0
Montour,04/01/2020 12:00:00 AM,0
Clearfield,04/01/2020 12:00:00 AM,0
Somerset,05/01/2020 12:00:00 AM,11
Armstrong,01/01/2021 12:00:00 AM,3045
Lancaster,07/01/2021 12:00:00 AM,36285
Jefferson,04/01/2020 12:00:00 AM,0
Pike,11/01/2020 12:00:00 AM,726
Fayette,09/01/2020 12:00:00 AM,210
Butler,06/01/2021 12:00:00 AM,12686
Chester,03/01/2021 12:00:00 AM,23399
Fayette,11/01/2020 12:00:00 AM,555
Northampton,03/01/2021 12:00:00 AM,20938
Bradford,08/01/2021 12:00:00 AM,3045
Cameron,11/01/2021 12:00:00 AM,196
Sullivan,01/01/2021 12:00:00 AM,251
Dauphin,11/01/2021 12:00:00 AM,10743
Union,02/01/2021 12:00:00 AM,2280
Delaware,11/01/2021 12:00:00 AM,24263
Northumberland,06/01/2021 12:00:00 AM,10842
Pike,04/01/2021 12:00:00 AM,1580
Bedford,11/01/2020 12:00:00 AM,676
Butler,08/01/2020 12:00:00 AM,558
Schuylkill,12/01/2020 12:00:00 AM,7075
Bradford,03/01/2020 12:00:00 AM,0
Susquehanna,03/01/2020 12:00:00 AM,0
Wyoming,11/01/2021 12:00:00 AM,1058
Westmoreland,05/01/2021 12:00:00 AM,23745
Montgomery,11/01/2020 12:00:00 AM,27825
Pike,07/01/2020 12:00:00 AM,657
Wyoming,08/01/2021 12:00:00 AM,1674
Erie,11/01/2020 12:00:00 AM,1605
Westmoreland,04/01/2021 12:00:00 AM,22153
Schuylkill,08/01/2021 12:00:00 AM,13012
Beaver,09/01/2020 12:00:00 AM,3576
Montour,11/01/2021 12:00:00 AM,1190
Lycoming,01/01/2021 12:00:00 AM,6162
Chester,08/01/2020 12:00:00 AM,11076
Butler,04/01/2021 12:00:00 AM,12095
Juniata,04/01/2020 12:00:00 AM,3
Westmoreland,09/01/2021 12:00:00 AM,24893
Pike,05/01/2021 12:00:00 AM,1674
Tioga,03/01/2021 12:00:00 AM,2955
Clarion,06/01/2020 12:00:00 AM,60
Clarion,06/01/2021 12:00:00 AM,2888
Cameron,10/01/2021 12:00:00 AM,334
Lackawanna,04/01/2020 12:00:00 AM,1162
Northumberland,10/01/2020 12:00:00 AM,3106
Dauphin,09/01/2021 12:00:00 AM,17723
Bradford,05/01/2021 12:00:00 AM,2763
Armstrong,11/01/2021 12:00:00 AM,3421
Northumberland,09/01/2020 12:00:00 AM,1518
Erie,07/01/2021 12:00:00 AM,13013
Juniata,09/01/2021 12:00:00 AM,3037
Carbon,05/01/2020 12:00:00 AM,714
Franklin,11/01/2020 12:00:00 AM,2709
Clarion,09/01/2020 12:00:00 AM,90
Columbia,09/01/2021 12:00:00 AM,4241
Indiana,09/01/2020 12:00:00 AM,317
Warren,06/01/2020 12:00:00 AM,3
Clearfield,07/01/2020 12:00:00 AM,0
Potter,03/01/2021 12:00:00 AM,664
Huntingdon,11/01/2021 12:00:00 AM,2769
Northampton,05/01/2020 12:00:00 AM,5671
Bucks,04/01/2021 12:00:00 AM,37111
Washington,02/01/2021 12:00:00 AM,7159
Perry,04/01/2021 12:00:00 AM,2894
Luzerne,09/01/2020 12:00:00 AM,5710
Juniata,08/01/2020 12:00:00 AM,186
Beaver,03/01/2021 12:00:00 AM,11048
Lancaster,06/01/2021 12:00:00 AM,34815
Cameron,10/01/2020 12:00:00 AM,0
Venango,08/01/2021 12:00:00 AM,3248
Philadelphia,07/01/2020 12:00:00 AM,53380
Wayne,04/01/2021 12:00:00 AM,2288
Clearfield,01/01/2021 12:00:00 AM,2762
Elk,02/01/2021 12:00:00 AM,973
Cumberland,07/01/2020 12:00:00 AM,2080
Cambria,03/01/2020 12:00:00 AM,0
Indiana,10/01/2020 12:00:00 AM,435
Jefferson,06/01/2020 12:00:00 AM,25
Monroe,11/01/2021 12:00:00 AM,5961
Northumberland,07/01/2021 12:00:00 AM,11391
Delaware,03/01/2021 12:00:00 AM,39917
Sullivan,02/01/2021 12:00:00 AM,422
Centre,12/01/2020 12:00:00 AM,3899
Fulton,08/01/2020 12:00:00 AM,62
Warren,07/01/2020 12:00:00 AM,31
Snyder,12/01/2020 12:00:00 AM,1146
Allegheny,05/01/2021 12:00:00 AM,61396
McKean,01/01/2021 12:00:00 AM,1625
Forest,08/01/2020 12:00:00 AM,0
Allegheny,04/01/2021 12:00:00 AM,57054
Huntingdon,12/01/2020 12:00:00 AM,2530
Bedford,06/01/2020 12:00:00 AM,76
Luzerne,01/01/2021 12:00:00 AM,18189
Adams,05/01/2020 12:00:00 AM,192
Lebanon,08/01/2021 12:00:00 AM,9371
Clarion,03/01/2020 12:00:00 AM,0
Lackawanna,01/01/2021 12:00:00 AM,10353
Erie,01/01/2021 12:00:00 AM,9933
